collection,date_text,date_qualifier,date_single,date_range_end,extent_physical,form,form_authority,form_URI,identifier,language,name 1,name_authority 1,name_authority_URI 1,name_role 1,name_role_URI 1,name 2,name_authority 2,name_role 2,name_role_URI 2,relatedItem@type=host_titlePart,place_of_origin 1,place_of_origin_URI 1,place_of_origin 2,place_of_origin_URL 2,project_title,project_url,note,note 2,record_source,repository,rights,shelf_locator,subject_geographic,subject_geographic_coordinates,subject_geographic_authority,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_name_authority,subject_name_URI 2,subject_name 3,subject_name_authority 3,subject_name_URI 3,subject_topical 1,subject_topical_authority 1,subject_topical_URI 1,subject_topical 2,title_initial_article,title_of_work,internet_media_type,digital_origin,item_type,language_of_cataloging,record_origin
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1079,zxx,Illinois Central Railroad Company. Agriculture Department,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,,,,,Unidentified girl and calf,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1091,zxx,Illinois Central Railroad Company. Agriculture Department,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,,,,,Unidentified girls and women with cows,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1093,zxx,Illinois Central Railroad Company. Agriculture Department,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver speaking outdoors,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1099,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Kefauver at Kimberly's after funeral for EK's father,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified group at dinner table after funeral for his father,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,4/1/1954,,1954-04-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1107,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,"Bristol Tennessee High Seniors April,1954",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Bristol (Tenn.),"36.59511N, 82.18874W",http://id.loc.gov/authorities/names/n81124834,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,"Estes Kefauver with two Bristol, Tennessee, High Seniors",,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1111,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Kefauver with unidentified man and airplane,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1115,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Kefauver with two unidentified men with airplane,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1119,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Kefauver speaking before group behind podium,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1127,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Ripley (Tenn.),http://id.loc.gov/authorities/names/n83023394,,,Estes Kefauver Image Collection,,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Ripley (Tenn.),"35.74536N, 89.5298W",http://id.loc.gov/authorities/names/n83023394,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Senator Estes Kefauver and P.G. Durham Jr. in bank Atriple,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1131,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Ripley (Tenn.),http://id.loc.gov/authorities/names/n83023394,,,Estes Kefauver Image Collection,,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Ripley (Tenn.),"35.74536N, 89.5298W",http://id.loc.gov/authorities/names/n83023394,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,"Estes Kefauver with County Judge J.R. Lewis , Lyle Durham",,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1133,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Ripley (Tenn.),http://id.loc.gov/authorities/names/n83023394,,,Estes Kefauver Image Collection,,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Ripley (Tenn.),"35.74536N, 89.5298W",http://id.loc.gov/authorities/names/n83023394,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with Leonard Smith of Co-Op Loan Company in Ripley,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1137,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Oak Ridge (Tenn.),http://id.loc.gov/authorities/names/n79100849,,,Estes Kefauver Image Collection,,for Ms.Leach,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Oak Ridge (Tenn.),"36.01036N, 84.26964W",http://id.loc.gov/authorities/names/n79100849,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified man and two children at Stone Bridge Cerebral Palsy Clinic in Oak Ridge,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1139,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Oak Ridge (Tenn.),http://id.loc.gov/authorities/names/n79100849,,,Estes Kefauver Image Collection,,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Oak Ridge (Tenn.),"36.01036N, 84.26964W",http://id.loc.gov/authorities/names/n79100849,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified woman and two children at Stone Bridge Cerebral Palsy Clinic in Oak Ridge,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,10/1/1958,,1958-10-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1143,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Oak Ridge (Tenn.),http://id.loc.gov/authorities/names/n79100849,,,Estes Kefauver Image Collection,,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Oak Ridge (Tenn.),"36.01036N, 84.26964W",http://id.loc.gov/authorities/names/n79100849,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,"Estes Kefauver with unidentified woman,man, and two children at Stone Bridge Cerebral Palsy Clinic in Oak Ridge",,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1147,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Maigie,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and unidentified woman share an apple,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1151,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,"United States Senate Memorandum-Pictures taken on plane from Bonn to Paris to NATO meeting. Geoffrey de Freitas,Colonel Finn, and Douglas Robinson",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,"De Freitas, Geoffrey, Sir, 1913-1982",naf,http://id.loc.gov/authorities/names/no91011592,,,,,,,,,"Estes Kefauver on plane from Bonn to Paris to NATO meeting with Sir Geoffrey de Freitas, Colonel Finn and Douglas Robinson",,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1185,zxx,"Ritter, Werner",,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with two unidentified men,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1187,zxx,"Ritter, Werner",,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified man and crowd,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1193,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with service members,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1195,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Bermuda Islands,http://id.loc.gov/authorities/names/n79115394,,,Estes Kefauver Image Collection,,Bermuda,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver on boat with three unidentified men,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1197,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,"Scene four friends gets around. He is also a friend to some of my relatives Joe,Ira,Kate Snow of Bristol Haw just return from visit with them",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver holding fish with two identified men,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1199,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver speaking from behind a podium,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1203,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,,,,,Crowd gathered around open door of plane,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
Estes Kefauver Papers,[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1205,zxx,unknown,,,Creator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with crowd,,reformatted digital,still image,eng,Created and edited in general conformance to MODS Guidelines (Version 3.6).
