collection,date_text,date_qualifier,date_single,date_range_end,extent_physical,form,form_authority,form_URI,identifier,language,name 1,name_authority 1,name_authority_URI 1,name_role 1,name_role_authority 1,name_role_URI 1,name 2,name_authority 2,name_role 2,name_role_authority 2,name_role_URI 2,place_of_origin 1,place_of_origin_URI 1,place_of_origin 2,place_of_origin_URI 2,project_title,note,note 2,record_source,repository,rights,collection_identifier,subject_geographic,subject_geographic_authority,subject_geographic_URI,subject_geographic_coordinates,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_name_authority 2,subject_name_URI 2,subject_name 3,subject_name_authority 3,subject_name_URI 3,subject_topical 1,subject_topical_authority 1,subject_topical_URI 1,subject_topical 2,title_initial_article,title_of_work
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1147,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Maigie,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and unidentified woman share an apple
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1151,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"United States Senate Memorandum-Pictures taken on plane from Bonn to Paris to NATO meeting. Geoffrey de Freitas,Colonel Finn, and Douglas Robinson",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,"De Freitas, Geoffrey, Sir, 1913-1982",naf,http://id.loc.gov/authorities/names/no91011592,,,,,,,,,"Estes Kefauver on plane from Bonn to Paris to NATO meeting with Sir Geoffrey de Freitas, Colonel Finn and Douglas Robinson"
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1185,zxx,"Ritter, Werner",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with two unidentified men
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1187,zxx,"Ritter, Werner",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with unidentified man and crowd
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1193,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with service members
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1195,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Bermuda Islands,http://id.loc.gov/authorities/names/n79115394,,,Estes Kefauver Image Collection,Bermuda,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver on boat with three unidentified men
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1197,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Scene four friends gets around. He is also a friend to some of my relatives Joe,Ira,Kate Snow of Bristol Haw just return from visit with them",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver holding fish with two identified men
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1199,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver speaking from behind a podium
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1203,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,,,,,,Crowd gathered around open door of plane
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1205,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver with crowd
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1207,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Coonskin Caps,,,,,Group of children in coonskin caps
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1209,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Coonskin Caps,,,,,Crowd of children in coonskin caps with Estes Kefauver
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1213,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver shakes hand of unidentified man while another man looks on
