dc:identifier;dc:title;dc:date;dc:creator;dc:contributor;dc:description;dc:subject1;dc:subject2;dc:subject3;dc:coverage;dc:rights;dc:publisher;dc:source;dc:relation;dc:type;dc:format;dc:language
KDP_1207;Group of children in coonskin caps;unknown;unknown;;;Kefauver, Estes, 1903-1963;Coonskin Cap;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1209;Crowd of children in coonskin caps with Estes Kefauver;unknown;unknown;;;Kefauver, Estes, 1903-1963;Coonskin Cap;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1213;Estes Kefauver shakes hand of unidentified man while another man looks on;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1215;Estes Kefauver with Maricus Fariolette;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1257;Photo of Dr. and Mrs. R.C. Kenileraugh;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1261;Unidentified man sitting outdoors;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1262;Group of men including Estes Kefauver sit and stand outside;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1263;Estes Kefauver and unidentified man and woman by lake;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1264;Estes Kefauver and unidentified man by lake;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1265;Photo of Nancy Kefauver by lake;unknown;unknown;;;Kefauver, Nancy, 1912-1967;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1284;Unveiling of the Tomb of Miles Carey,Windmill Points Va. May 8,1932;1932-05-08;unknown;;Taken at Unveiling Ceremony Tomb of Miles Carey-Windmill Points VA. P.M. Estes-Mayfolk Webb May 8,1932;Kefauver, Estes, 1903-1963;;;Virginia;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1286;Estes Kefauver and unidentified man;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1336;Estes Kefauver and unidentified child in snow;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1338;Robert Cooke Kefauver;unknown;unknown;;;Kefauver, Robert Cooke;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1340;Robert Cooke Kefauver and children in play hats stand outside of house;unknown;unknown;;;Kefauver, Robert Cooke;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1342;Man playfully pointing gun at another man;unknown;unknown;;;;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1344;Kefauver family and beagle sit on curb in residential area;1961-09-01;unknown;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1358;A man pours tea for Estes Kefauver in Calcutta;unknown;Aaron Joshua, Photographer, Chowringhee Centre, Calcutta;;Aaron Joshua, Photographer, Chowringhee Centre, Calcutta;Kefauver, Estes, 1903-1963;;;India;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1360;Estes Kefauver sits with woman taking notes, possibly in Calcutta;1955-09-30;Aaron Joshua, Photographer, Chowringhee Centre, Calcutta;;Aaron Joshua, Photographer, Chowringhee Centre, Calcutta;Kefauver, Estes, 1903-1963;;;India;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1372;Estes Kefauver, wearing overalls over jacket and tie, stands with a group of Shriners and a policeman outside of a Shriner temple;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1374;Estes Kefauver has meal with tobacco buyer at kitchen of house in Tazewell, Tennessee;unknown;unknown;;Tazewell TN – Tobacco Buyers – Ate in Kitchen;Kefauver, Estes, 1903-1963;;;Tazewell (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1376;Estes Kefauver stands on courthouse steps with other men including one wearing a coonskin cap;unknown;unknown;;LaFollette – offered pet coon – very torn (?) 2 days before coffee;Kefauver, Estes, 1903-1963;Coonskin Cap;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1378;Louise Heflin takes dictation as Estes Kefauver talks in the backseat of a car;unknown;unknown;;Dictate Get(?) Tour Stenotype Louise Helfin;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1384;Estes Kefauver, two men and a woman join hands in cheer in front of car;unknown;unknown;;LaFollette—Harry Mansfield-25, Deputy Campaigner, Manager(?) at 22, Needs all 95 counters(?);Kefauver, Estes, 1903-1963;;;LaFollette (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1388;Estes Kefauver and woman in street below banner saying McMinnville is Estes Kefauver's summer home;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;McMinnville (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1390;Estes Kefauver stands outside the open doors of a building holding a ham-shaped package and shaking hands with a man;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1392;A young woman pins a ribbon on Estes Kefauver's lapel as other, mostly young, people watch;unknown;unknown;;Martin;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1400;Estes and Nancy Kefauver watch with two others as a man reads from a ceremonial-looking document;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1402;Estes Kefauver stands with small donkey and man with fake beard and rodeo-clownlike get-up while people watch in stands behind them;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1404;Estes Kefauver autographs books as his father stands beside him;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Robert Cooke;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1408;Estes  Kefauver and two other men explore an industrial area of a ship or plant;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1412;Estes Kefauver and two other men at an outing carry copies of documents, possibly speeches or bill drafts;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1416;Estes Kefauver holds a pen and a copy of his book Crime in America as other men talk in the background;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1418;Estes Kefauver stands with unidentified group of men;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1420;Estes Kefauver at Legion Auxiliary Meeting;1957-03-01;unknown;;Made Legion Aux Mtg in DC March 1957;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1422;Estes Kefauver and Dr.Philip Brooks stand near mural in lobby of Harry Truman Presidential Library;1963-01;Truman Library;;Senator Estes Kefauver and Dr. Philip C. Brooks near the mural, “Independence and the Opening of the West” by Thomas Hart Benton, in the lobby of the Harry S. Truman Library, Jan 1963 | Copyright Harry s. Truman library stamp;Kefauver, Estes, 1903-1963;;;;This item is in the public domain.;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1426;Estes and Nancy Kefauver stand with another man and woman, possibly at NATO meeting in Paris;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1428;Estes Kefauver signs a book for a woman at a gathering;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1444;Estes Kefauver signs a book for a woman at a gathering;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1449;Estes Kefauver stands by plane with group including boys in coonskin caps and western shirts;unknown;unknown;;Back row Cliff Goodwin, Toy James, Sen Kefauver, Less Jesslin. Front Row Borden children, Princeville Oregon. Photo taken May 17, Redmund, Ore;Kefauver, Estes, 1903-1963;Coonskin Cap;;Oregon;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
